PLAYER_ID,PLAYER_NAME,MIN,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PTS,PLUS_MINUS,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,D_FGM,D_FGA,D_FG_PCT,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,LOOSE_BALLS_RECOVERED,BOX_OUTS,RAPM
203932,Aaron Gordon,27.7,1.9,3.0,0.651,1.5,4.1,5.7,3.2,1.9,0.7,0.7,0.6,1.8,12.4,1.2,0.647,3.44,6.46,0.533,0.353,1.18,3.52,0.335,4.08,9.34,0.437,3.78,1.02,0.0,0.52,0.64,0.38,2.47
1628988,Aaron Holiday,17.8,1.0,1.3,0.819,0.2,1.1,1.3,1.9,1.0,0.7,0.2,0.5,1.4,7.2,0.0,0.584,1.56,3.86,0.404,0.416,1.02,2.76,0.368,3.0,6.46,0.464,3.09,1.47,0.0,0.03,0.39,0.42,1.5
1630174,Aaron Nesmith,14.5,0.5,0.6,0.786,0.6,2.2,2.8,0.5,0.5,0.3,0.2,0.3,1.9,4.7,-0.2,0.393,0.83,1.52,0.543,0.607,0.87,2.35,0.37,2.56,5.62,0.457,2.87,0.52,0.02,0.13,0.57,0.46,-0.27
1627846,Abdel Nader,14.8,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.8,0.4,0.4,0.3,1.4,6.7,1.2,0.619,1.54,2.92,0.529,0.381,0.75,1.79,0.419,2.37,6.11,0.388,3.17,0.75,0.0,0.04,0.38,0.5,-3.29
1629690,Adam Mokoka,4.0,0.0,0.1,0.0,0.1,0.3,0.4,0.4,0.4,0.1,0.1,0.1,0.4,1.1,-0.6,0.474,0.43,0.64,0.667,0.526,0.07,0.71,0.1,0.5,2.0,0.25,0.29,0.29,0.0,0.0,0.07,0.21,1.17
201143,Al Horford,27.9,0.6,0.8,0.818,1.0,5.7,6.7,3.4,1.0,0.9,0.9,0.4,1.7,14.2,-3.6,0.578,3.79,7.43,0.51,0.422,2.0,5.43,0.368,5.75,11.71,0.491,8.82,1.18,0.0,2.21,0.57,2.29,2.34
202329,Al-Farouq Aminu,18.9,0.8,1.0,0.818,1.0,3.8,4.8,1.3,1.2,0.8,0.4,0.2,1.3,4.4,-2.3,0.626,1.3,2.7,0.484,0.374,0.35,1.61,0.216,3.29,7.29,0.451,4.0,1.43,0.0,0.74,0.61,0.52,1.64
202692,Alec Burks,25.6,2.1,2.4,0.856,0.4,4.2,4.6,2.2,1.0,0.6,0.3,0.6,2.1,12.7,2.6,0.508,2.2,5.12,0.43,0.492,2.06,4.96,0.416,3.08,7.76,0.397,4.84,1.43,0.0,0.06,0.61,0.12,-0.79
1630197,Aleksej Pokusevski,24.2,0.7,0.9,0.738,0.7,4.0,4.7,2.2,2.2,0.4,0.9,0.2,1.3,8.2,-8.7,0.49,1.73,4.36,0.398,0.51,1.22,4.53,0.27,4.84,9.6,0.505,6.69,0.8,0.0,0.51,0.22,0.24,-2.88
1629346,Alen Smailagic,5.6,0.1,0.4,0.333,0.4,0.7,1.1,0.3,0.3,0.2,0.3,0.1,0.7,1.9,-2.1,0.63,0.47,1.13,0.412,0.37,0.27,0.67,0.4,2.55,4.55,0.56,2.07,0.47,0.0,0.73,0.07,0.53,-0.38
1627936,Alex Caruso,21.0,0.8,1.3,0.645,0.5,2.4,2.9,2.8,1.3,1.1,0.3,0.4,1.9,6.4,2.1,0.552,1.34,2.84,0.473,0.448,0.93,2.31,0.403,2.8,6.55,0.428,3.14,2.22,0.26,0.29,0.66,0.53,4.54
203458,Alex Len,15.3,1.1,1.8,0.629,1.2,2.8,4.1,0.8,0.9,0.3,1.0,0.3,2.0,6.6,-1.5,0.91,2.55,3.95,0.644,0.09,0.13,0.39,0.32,3.78,8.3,0.455,7.17,0.91,0.0,2.05,0.28,1.66,-1.36
1628035,Alfonzo McKinnie,6.6,0.3,0.5,0.556,0.6,0.8,1.4,0.2,0.1,0.2,0.0,0.2,0.7,3.1,0.2,0.581,0.82,1.38,0.593,0.419,0.41,1.0,0.41,1.38,2.88,0.48,1.13,0.23,0.1,0.08,0.13,0.21,-0.96
1628993,Alize Johnson,10.5,0.7,0.7,1.0,1.5,3.5,5.0,0.8,0.5,0.3,0.3,0.4,0.9,5.2,-1.0,0.912,2.17,3.44,0.629,0.088,0.06,0.33,0.167,2.2,4.53,0.485,2.17,0.17,0.06,0.11,0.89,0.83,0.48
1628578,Amida Brimah,5.9,0.6,0.6,1.0,0.4,1.2,1.6,0.2,0.8,0.0,1.0,0.0,0.8,2.6,4.4,1.0,1.0,1.6,0.625,0.0,0.0,0.0,,1.4,3.4,0.412,2.8,0.0,0.0,1.0,0.0,0.4,0.06
1629599,Amir Coffey,9.0,0.6,0.9,0.711,0.2,0.8,1.0,0.5,0.3,0.2,0.0,0.2,0.7,3.2,-0.6,0.456,0.5,1.07,0.468,0.544,0.52,1.27,0.411,1.48,3.55,0.417,1.25,0.39,0.0,0.07,0.18,0.18,-0.06
2760,Anderson Varejao,7.2,1.0,1.8,0.556,1.4,2.6,4.0,0.6,0.2,0.0,0.4,0.6,0.6,2.6,-6.6,0.938,0.8,3.0,0.267,0.063,0.0,0.2,0.0,2.25,5.0,0.45,1.6,0.2,0.0,0.6,0.2,0.6,-0.72
203083,Andre Drummond,27.0,2.7,4.5,0.6,3.6,8.4,12.0,2.0,2.7,1.4,1.1,1.5,3.2,14.9,-2.3,0.986,5.89,11.83,0.498,0.014,0.0,0.17,0.0,6.24,12.07,0.517,8.83,2.83,0.09,2.83,1.07,1.72,1.37
2738,Andre Iguodala,21.3,0.4,0.6,0.658,0.6,2.9,3.5,2.3,1.1,0.9,0.6,0.0,1.4,4.4,-1.3,0.265,0.56,1.05,0.53,0.735,0.95,2.9,0.328,3.06,7.15,0.429,3.56,1.63,0.06,0.25,0.54,1.11,0.81
203460,Andre Roberson,12.6,0.2,0.4,0.5,1.4,1.6,3.0,0.8,0.4,0.6,0.2,0.4,0.8,1.2,-3.8,0.429,0.2,1.2,0.167,0.571,0.2,1.6,0.125,3.25,6.0,0.542,3.2,1.0,0.0,1.0,0.4,0.6,-0.2
