pID,Name,From,To
1628690,Tyshawn Abbott,2017,2017
1627427,Jalil Abdul-Bassit,2015,2015
1629240,Muhammad-Ali Abdur-Rahkman,2018,2019
203680,Alfred Aboya,2013,2014
202868,Jamar Abrams,2011,2011
202575,Jamal Abu-Shamala,2010,2010
201719,Mohammed Abukar,2008,2008
101165,Alex Acker,2005,2008
203112,Quincy Acy,2012,2018
200549,Ben Adams,2005,2005
1629824,Jalen Adams,2019,2020
1629121,Jaylen Adams,2018,2019
203919,Jordan Adams,2014,2018
1629462,Josh Adams,2018,2018
202243,Wink Adams,2009,2010
1628108,Matthew Adekponya,2015,2015
1629061,Deng Adel,2018,2019
200846,Kenny Adeleke,2012,2012
1628638,Josh Adeyeye,2017,2017
202399,Jeff Adrien,2010,2012
200772,Maurice Ager,2006,2009
201861,Antoine Agudio,2008,2015
203196,Ronnie Aguilar,2015,2015
201336,Blake Ahearn,2007,2014
1628097,Aly Ahmed,2015,2015
1629916,Bashir Ahmed,2019,2019
203562,CJ Aiken,2013,2013
201582,Alexis Ajinca,2008,2009
101224,Deji Akindele,2005,2007
202859,David Akinyooye,2011,2011
203006,Josh Akognon,2011,2013
1629152,DeVaughn Akoon-Purcell,2018,2019
200969,Mustafa Al-Sayyad,2006,2007
202374,Solomon Alabi,2010,2012
202332,Cole Aldrich,2010,2010
101243,Chris Alexander,2007,2008
1626146,Cliff Alexander,2015,2017
1627000,Daniel Alexander,2016,2017
201570,Joe Alexander,2009,2014
1629734,Kyle Alexander,2019,2019
1630234,Ty-Shon Alexander,2020,2020
202777,Xavier Alexander,2011,2014
1629812,Courtney Alexander II,2019,2019
1629638,Nickeil Alexander-Walker,2019,2019
1628576,Bryce Alford,2017,2018
1628121,Montigo Alford,2015,2015
1628959,Rawle Alkins,2018,2020
203694,Chris Allen,2013,2014
1628614,Dakarai Allen,2017,2020
1628086,David Allen,2015,2015
1628960,Grayson Allen,2018,2018
203730,John Allen,2013,2013
202161,Julian Allen,2009,2009
1628443,Kadeem Allen,2017,2019
202730,Lavoy Allen,2017,2018
1629305,Marcus Allen,2018,2019
200561,Myron Allen,2005,2006
1629249,Noah Allen,2018,2019
201329,Ronald Allen,2007,2011
1628875,Seth Allen,2017,2017
201774,Steve Allen,2008,2008
1627895,Dii'jon Allen-Jordan,2015,2015
201250,Shagari Alleyne,2008,2009
202507,Corey Allmond,2010,2013
200984,Lance Allred,2006,2010
201165,Morris Almond,2007,2012
1747,Rafer Alston,2011,2011
1630005,Shizz Alston Jr.,2019,2019
1628608,Richard Amardi,2017,2017
201829,Mildon Ambres,2008,2011
202086,Alade Aminu,2008,2009
1627378,Mychal Ammons,2015,2015
200811,Lou Amundson,2006,2006
200891,Louis Amundson,2006,2006
200995,Aloysius Anagonye,2006,2006
101187,Alan Anderson,2006,2017
202079,Antonio Anderson,2008,2011
1629190,C.J. Anderson,2018,2019
202136,CJ Anderson,2008,2008
1627997,Chris Anderson,2015,2017
202570,Gerard Anderson,2010,2011
202815,Jake Anderson,2011,2011
202341,James Anderson,2010,2010
1626147,Justin Anderson,2015,2019
203198,Kevin Anderson,2012,2015
203937,Kyle Anderson,2014,2014
203793,Larry Anderson,2013,2013
201452,Luke Anderson,2007,2007
203711,Marcel Anderson,2013,2013
202561,Mike Anderson,2006,2012
1627386,Mike Anderson,2015,2016
202151,Rashad Anderson,2008,2013
203353,Ron Anderson,2012,2014
202790,Ryan Anderson,2011,2011
1629316,Ryan Anderson,2018,2018
201797,Tejay Anderson,2008,2008
1627882,Andrew Andrews,2017,2017
201314,Richard Andrews,2007,2007
202876,Zach Andrews,2011,2017
101149,Martynas Andriuskevicius,2005,2006
1629132,Braian Angola-Rodas,2018,2018
201254,Serge Angounou,2007,2008
1628387,Ike Anigbogu,2017,2019
1630313,Sacar Anim,2020,2020
1628961,Kostas Antetokounmpo,2018,2019
203648,Thanasis Antetokounmpo,2013,2019
201202,Joel Anthony,2007,2007
203951,Keith Appling,2014,2015
202496,Dominique Archie,2010,2010
1627853,Ryan Arcidiacono,2015,2017
201832,Eddie Ard,2008,2008
1627234,Chip Armelin,2015,2015
2220,Brandon Armstrong,2006,2006
200756,Hilton Armstrong,2012,2013
1629311,Isaiah Armwood,2018,2019
1628636,Brent Arrington,2017,2017
1628503,Jamel Artis,2017,2018
1629974,Kendarius Ash,2019,2019
1626165,Brandon Ashley,2015,2020
201345,Stanley Asumnu,2007,2011
202213,Connor Atchley,2009,2010
1626276,Darion Atkins,2015,2015
1627359,Eric Atkins,2015,2015
204205,Manny Atkins,2014,2014
203628,Jeremy Atkinson,2013,2014
200033,Jeff Aubry,2004,2004
200788,James Augustine,2006,2006
204148,Kodi Augustus,2014,2014
1627649,Brandon Austin,2017,2017
203279,Bryant Austin,2012,2012
202162,Craig Austrie,2009,2009
1627938,J.J. Avila,2015,2020
201867,Jarred Axon,2008,2008
202184,Chris Ayer,2006,2013
204288,Cameron Ayers,2014,2016
202137,Ryan Ayers,2008,2012
201965,Jeff Ayres,2015,2016
2635,Larry Ayuso,2008,2008
1628962,Udoka Azubuike,2020,2020
1629819,Yudai Baba,2019,2019
203569,Chris Babb,2013,2014
202337,Luke Babbitt,2010,2011
1627588,Dallin Bachynski,2015,2015
203947,Jordan Bachynski,2014,2015
1628407,Dwayne Bacon,2017,2019
204293,Travis Bader,2014,2018
2587,Malick Badiane,2008,2008
1629876,Nicholas Baer,2019,2019
201305,David Bailey,2006,2011
202807,Tirrell Baines,2011,2012
203946,Cameron Bairstow,2015,2015
1628573,Ian Baker,2017,2017
2486,Maurice Baker,2006,2014
1627758,Ron Baker,2016,2017
1627836,Gracin Bakumanya,2016,2017
1627735,Wade Baldwin IV,2016,2018
200764,Renaldo Balkman,2014,2014
204087,Gordon Ball,2013,2013
200519,Sung-Yoon Bang,2004,2008
2837,Alpha Bangura,2008,2008
202839,Jabril Banks,2011,2011
2556,Marcus Banks,2011,2011
101252,Sean Banks,2005,2010
1628779,Tre'Lun Banks,2017,2017
203633,Billy Baptist,2013,2013
1627760,Cat Barber,2015,2019
201833,John Barber,2008,2008
2841,Steven Barber,2006,2006
204157,Nick Barbour,2014,2014
200826,J.J. Barea,2006,2006
1629064,Sedrick Barefield,2019,2019
1628965,Jaylen Barford,2018,2018
1628625,Drew Barham,2017,2017
202778,Brian Barkdoll,2011,2011
1629394,Kentrell Barkley,2018,2018
204140,Kelsey Barlow,2014,2015
1629816,Chancellor Barnard,2019,2019
1627410,Bo Barnes,2015,2015
1628757,Leron Barnes,2017,2017
200937,Tim Barnes,2006,2006
1629153,Jordan Barnett,2018,2018
202152,Sean Barnette,2008,2009
2857,Andre Barrett,2005,2014
2853,Earl Barron,2005,2014
1629191,Canyon Barry,2018,2020
203354,Rodney Bartholomew,2012,2013
1627198,Antonio Barton,2015,2015
203115,Will Barton,2012,2012
101188,Eddie Basden,2005,2009
101138,Brandon Bass,2005,2005
1628238,Paris Bass,2016,2016
1628966,Keita Bates-Diop,2018,2020
200632,Turner Battle,2005,2005
1628967,Tyus Battle,2019,2019
204063,Kadeem Batts,2013,2014
202816,Thomas Baudinet,2011,2012
1628654,Devon Baulkman,2017,2019
203382,Aron Baynes,2012,2013
1962936702,Aron Baynes,2012,2012
203145,Kent Bazemore,2012,2013
1628431,V.J. Beachem,2017,2019
202590,Jermaine Beal,2010,2010
204183,George Beamon,2014,2014
1628109,Anthony Beane,2015,2015
2602,Jerome Beasley,2006,2006
1627736,Malik Beasley,2016,2016
1628033,Tydran Beaty,2015,2015
200575,Romel Beck,2008,2009
1627862,Beau Beech,2015,2017
203989,Chane Behanan,2014,2017
1626526,Cameron Bell,2015,2015
200910,Chad Bell,2006,2006
202540,D'Andre Bell,2010,2011
201333,David Bell,2007,2009
1628395,Jordan Bell,2017,2020
2559,Troy Bell,2006,2006
1629472,Trae Bell-Haynes,2018,2018
203568,Damen Bell-Holter,2013,2013
203155,Oscar Bellfield,2012,2012
1627761,DeAndre' Bembry,2016,2017
1627733,Dragan Bender,2019,2019
203968,Jerrelle Benimon,2014,2014
1629355,Kyle Benjamin,2018,2018
1629849,Malik Benlevi,2019,2020
201874,Cameron Bennerman,2008,2013
203461,Anthony Bennett,2015,2018
202728,Keith Benson,2011,2016
200918,Rod Benson,2006,2009
1627791,Ben Bentil,2015,2016
200909,Ali Berdiel,2007,2007
201362,Roberto Bergersen,2007,2009
201741,David Berghoefer,2008,2008
1628731,Malcolm Bernard,2017,2017
204310,Davion Berry,2014,2017
1629137,Joel Berry,2018,2019
202722,Davis Bertans,2016,2017
1629715,Javon Bess,2019,2019
1628700,Aaron Best,2017,2017
1628609,Michael Bethea Jr.,2017,2019
201862,Tony Bethel,2008,2008
204120,Travis Betran,2014,2014
201976,Patrick Beverley,2012,2012
1627896,Gerald Beverly,2015,2017
1630189,Tyler Bey,2020,2020
204021,Sim Bhullar,2014,2015
1629167,Justin Bibbs,2018,2019
1628448,Kavell Bigby-Williams,2019,2019
202831,Tyrell Biggs,2011,2013
202163,Brayden Billbe,2009,2009
200591,Nick Billings,2005,2005
202120,Jimmy Binnie,2008,2009
203920,Khem Birch,2014,2017
1628444,Jabari Bird,2017,2017
203719,Tony Bishop,2013,2014
1629048,Goga Bitadze,2019,2019
204028,Tarik Black,2014,2015
200985,Jermaine Blackburn,2006,2006
1628511,James Blackmon Jr.,2017,2017
2672,Ronald Blackshear,2005,2005
1629872,Wayne Blackshear,2019,2019
201971,DeJuan Blair,2016,2018
202172,Tyrelle Blair,2009,2009
202832,Jonathan Blake,2011,2011
202392,Marqus Blakely,2010,2011
1628469,Antonio Blakeney,2017,2020
200807,Will Blalock,2006,2012
1628563,Joshua Blamon,2017,2017
1628068,Jaylen Bland,2015,2016
204316,James Blasczyk,2014,2014
