,Unnamed: 0.1,Unnamed: 0,teamTricode,nameTeam,idDivision,idConference,colorsTeam,urlThumbnailTeam,team_name,team_slug,team_id,image,Team,team,teamid
0,0,0,WAS,Washington Wizards,5.0,1.0,#002b5c,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,Washington Wizards,Wizards,1610612764.0,C:\Users\pansr\Documents\NBA\data\images\teams\Washington Wizards.png,Washington Wizards,Washington Wizards,1610612764.0
1,1,1,UTA,Utah Jazz,3.0,2.0,#002b5c,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,Utah Jazz,Jazz,1610612762.0,C:\Users\pansr\Documents\NBA\data\images\teams\Utah Jazz.png,Utah Jazz,Utah Jazz,1610612762.0
2,2,2,TOR,Toronto Raptors,1.0,1.0,#ce1141,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Toronto Raptors,Raptors,1610612761.0,C:\Users\pansr\Documents\NBA\data\images\teams\Toronto Raptors.png,Toronto Raptors,Toronto Raptors,1610612761.0
3,3,3,SAS,San Antonio Spurs,6.0,2.0,#061922,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,San Antonio Spurs,Spurs,1610612759.0,C:\Users\pansr\Documents\NBA\data\images\teams\San Antonio Spurs.png,San Antonio Spurs,San Antonio Spurs,1610612759.0
4,4,4,SAC,Sacramento Kings,4.0,2.0,#724c9f,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,Sacramento Kings,Kings,1610612758.0,C:\Users\pansr\Documents\NBA\data\images\teams\Sacramento Kings.png,Sacramento Kings,Sacramento Kings,1610612758.0
5,5,5,POR,Portland Trail Blazers,3.0,2.0,#061922,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,Portland Trail Blazers,Blazers,1610612757.0,C:\Users\pansr\Documents\NBA\data\images\teams\Portland Trail Blazers.png,Portland Trail Blazers,Portland Trail Blazers,1610612757.0
6,6,6,PHX,Phoenix Suns,4.0,2.0,#e56020,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,Phoenix Suns,Suns,1610612756.0,C:\Users\pansr\Documents\NBA\data\images\teams\Phoenix Suns.png,Phoenix Suns,Phoenix Suns,1610612756.0
7,7,7,PHI,Philadelphia 76ers,1.0,1.0,#ed174c,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Philadelphia 76ers,76ers,1610612755.0,C:\Users\pansr\Documents\NBA\data\images\teams\Philadelphia 76ers.png,Philadelphia 76ers,Philadelphia 76ers,1610612755.0
8,8,8,ORL,Orlando Magic,5.0,1.0,#007dc5,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,Orlando Magic,Magic,1610612753.0,C:\Users\pansr\Documents\NBA\data\images\teams\Orlando Magic.png,Orlando Magic,Orlando Magic,1610612753.0
9,9,9,OKC,Oklahoma City Thunder,3.0,2.0,#007dc3,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Oklahoma City Thunder,Thunder,1610612760.0,C:\Users\pansr\Documents\NBA\data\images\teams\Oklahoma City Thunder.png,Oklahoma City Thunder,Oklahoma City Thunder,1610612760.0
10,10,10,NYK,New York Knicks,1.0,1.0,#006bb6,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Knicks,1610612752.0,C:\Users\pansr\Documents\NBA\data\images\teams\New York Knicks.png,New York Knicks,New York Knicks,1610612752.0
11,11,11,NOP,New Orleans Pelicans,6.0,2.0,#002b5c,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,New Orleans Pelicans,Pelicans,1610612740.0,C:\Users\pansr\Documents\NBA\data\images\teams\New Orleans Pelicans.png,New Orleans Pelicans,New Orleans Pelicans,1610612740.0
12,12,12,MIN,Minnesota Timberwolves,3.0,2.0,#005083,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Minnesota Timberwolves,Timberwolves,1610612750.0,C:\Users\pansr\Documents\NBA\data\images\teams\Minnesota Timberwolves.png,Minnesota Timberwolves,Minnesota Timberwolves,1610612750.0
13,13,13,MIL,Milwaukee Bucks,2.0,1.0,#00471b,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,Milwaukee Bucks,Bucks,1610612749.0,C:\Users\pansr\Documents\NBA\data\images\teams\Milwaukee Bucks.png,Milwaukee Bucks,Milwaukee Bucks,1610612749.0
14,14,14,MIA,Miami Heat,5.0,1.0,#98002e,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Miami Heat,Heat,1610612748.0,C:\Users\pansr\Documents\NBA\data\images\teams\Miami Heat.png,Miami Heat,Miami Heat,1610612748.0
15,15,15,MEM,Memphis Grizzlies,6.0,2.0,#7399c6,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,Memphis Grizzlies,Grizzlies,1610612763.0,C:\Users\pansr\Documents\NBA\data\images\teams\Memphis Grizzlies.png,Memphis Grizzlies,Memphis Grizzlies,1610612763.0
