pID,Name,From,To
203025,Farhiya Abdi,2013,2015
100023,Tajama Abraham,1997,1998
100658,Svetlana Abrosimova,2001,2012
203831,Natalie Achonwa,2015,2023
201882,Jessica Adair,2010,2012
202634,Danielle Adams,2011,2017
100836,Jordan Adams,2003,2003
1630153,Jaylyn Agnew,2020,2021
100601,Elisa Aguilar,2002,2002
201492,Matee Ajavon,2008,2017
1628262,Evelyn Akhator,2017,2017
1630093,Bella Alarie,2020,2022
100158,Marcie Alberts,1997,1997
100348,Markita Aldridge,1999,2001
100168,Erin Alexander,1998,1998
203405,Kayla Alexander,2013,2020
100218,Towana Alhaleem,2001,2001
1627700,Julie Allemand,2020,2022
201513,Charel Allen,2008,2008
1628263,Lindsay Allen,2017,2023
204296,Rebecca Allen,2015,2023
1627687,Jillian Alleyne,2019,2021
1627691,Ameryst Alston,2016,2017
100527,Mactabene Amachree,2001,2005
100036,Monique Ambers,1997,2002
1641656,Laeticia Amihere,2023,2023
200687,Ambrosia Anderson,2006,2006
100873,Chantelle Anderson,2003,2007
201485,Jolene Anderson,2008,2008
100553,Keisha Anderson,2000,2002
1628304,Yvonne Anderson,2022,2022
100428,Mery Andrade,1999,2004
100026,Yvette Angel,1997,1997
1629485,Kristine Anigwe,2019,2023
201500,Nicky Anosike,2008,2012
202251,Jayne Appel Marinelli,2010,2016
100075,Janeth Arcain,1997,2005
203428,Anne Marie Armstrong,2013,2013
100067,Katasha Artis,1997,1997
100037,Marlies Askamp,1997,2002
1628878,Ariel Atkins,2018,2023
200679,La'Tangela Atkinson,2006,2009
201478,Morenike Atunrase,2008,2008
1631056,Amy Atwell,2022,2022
200671,Seimone Augustus,2006,2020
1631022,Shakira Austin,2022,2023
204468,Valeriane Ayayi,2015,2015
100441,Angela Aycock,1999,2000
202629,Miranda Ayim,2011,2011
100847,Leigh Aziz,2003,2003
100382,Jennifer Azzi,1999,2003
100237,Tricia Bader Binford,1998,2002
200682,Sherill Baker,2006,2009
201054,Alison Bales,2007,2011
100535,Rhonda Banchero,2000,2000
1627671,Rachel Banham,2016,2023
100043,Elena Baranova,1997,2005
100231,Adia Barnes,1998,2004
100230,Quacy Barnes,1998,2002
200691,Mistie Bass,2006,2016
100878,Suzy Batkovic-Brown,2005,2009
101035,Jacqueline Batteast,2005,2006
101047,Ashley Battle,2005,2010
100294,Cass Bauer-Bilodeau,1999,2002
203037,Vicki Baugh,2014,2016
100949,Alana Beard,2004,2019
100041,Ryneldi Becenti,1997,1997
201517,Kimberly Beck,2008,2008
1629495,Kenisha Bell,2019,2019
1631006,Kierstan Bell,2022,2023
1627648,Evgeniia Belyakova,2016,2016
1628868,Hind Ben Abdelkader,2018,2018
100921,Jenni Benningfield,2005,2005
203410,Alex Bentley,2013,2019
1631081,Katie Benzan,2022,2022
201491,Val Berezhynska,2008,2008
1641658,Grace Berger,2023,2023
100739,Lucienne Berthieu,2002,2004
1629571,Morgan Bertsch,2023,2023
100284,Tully Bevilaqua,1998,2012
203839,Tiffany Bias,2014,2019
100508,Jessica Bibby,2000,2000
100912,Agnieszka Bibrzycka,2003,2006
1628881,Monique Billings,2018,2023
100720,Sue Bird,2002,2022
202249,Abby Bishop,2010,2016
100391,Nina Bjedov,1999,1999
202637,Angie Bjorklund,2011,2011
100979,Tera Bjorklund,2004,2004
201884,Chante Black,2009,2013
100359,Debbie Black,1999,2004
100108,Rhonda Blades,1997,1998
100183,Cindy Blodgett,1998,2001
200689,Nikki Blue,2006,2010
100169,Octavia Blue,1998,2004
201497,Shannon Bobbitt,2008,2012
201885,Whitney Boddie,2009,2009
100016,Ruthie Bolton,1997,2004
200697,LaToya Bond,2006,2008
203402,Kelsey Bone,2013,2018
100799,Susanna Bonfiglio,2002,2002
201886,DeWanna Bonner,2009,2023
100053,Karen Booker,1997,1998
1641648,Aliyah Boston,2023,2023
100095,Jenny Boucek,1997,1997
100177,Kelly Boucher,1998,1998
200714,Lindsay Bowen,2007,2007
100859,Tamara Bowie,2003,2003
100269,Carla Boyd,1998,2001
204327,Brittany Boyd-Jones,2015,2021
204325,Crystal Bradford,2015,2021
203844,Gennifer Brandon,2014,2014
100212,Albena Branzova,1998,1998
100246,Gergana Branzova,1998,1998
203070,Cierra Bravard,2013,2013
100087,Janice Braxton,1997,1999
101025,Kara Braxton,2005,2014
100368,Angie Braziel,1999,2001
100253,Razija Brcaninovic,1998,1998
202638,Jessica Breland,2011,2021
1630095,Brittany Brewer,2020,2020
100629,Reshea Bristol,2001,2001
100221,Michelle Brogan,1998,2001
100247,Sandy Brondello,1998,2003
100248,Cindy Brown,1998,1999
100848,Coretta Brown,2003,2006
100492,Edwina Brown,2000,2006
1629480,Kalani Brown,2019,2023
100651,Kiesha Brown,2002,2010
100193,La'Shawn Brown,1998,1998
1641665,Leigha Brown,2023,2023
100383,Lesley Brown,1999,1999
1628882,Lexie Brown,2018,2023
100097,Rushia Brown,1997,2003
100481,Marla Brumfield,2000,2003
100916,Jessica Brungo,2004,2006
1628265,Sophie Brunner,2017,2017
100944,Rebekkah Brunson,2004,2018
1627679,Adut Bulgak,2016,2017
100058,Vicky Bullett,1997,2002
204332,Cierra Burdick,2015,2021
100156,Heidi Burge,1997,1998
100401,Annie Burgess,1999,2003
100011,Linda Burgess,1997,2000
1629568,Kennedy Burke,2019,2022
100429,Alisa Burras,1999,2003
1630996,Rae Burrell,2022,2023
100660,Janell Burse,2001,2009
1631007,Veronica Burton,2022,2023
203046,Briana Butler,2012,2015
203874,Heather Butler,2014,2014
100934,Tasha Butts,2004,2004
100027,Latasha Byears,1997,2008
203020,Kelley Cain,2012,2014
1630471,Maya Caldwell,2022,2023
202633,Liz Cambage,2011,2022
100375,Edna Campbell,1999,2005
100360,Michelle Campbell,1999,2000
202314,Michelle Campbell,2013,2013
1628886,Jordin Canada,2018,2023
1628242,Emma Cannon,2017,2023
100384,Dominique Canty,1999,2012
101053,Jamie Carey,2005,2008
1629524,Bridget Carleton,2019,2023
1630096,DiJonai Carrington,2021,2023
201502,Essence Carson,2008,2020
100938,Amisha Carter,2004,2005
1629573,Arica Carter,2019,2019
1630150,Chennedy Carter,2020,2022
100052,Deborah Carter,1997,1998
203039,Sydney Carter,2012,2015
100721,Swin Cash,2002,2016
100451,Jamie Cassidy,2000,2000
100796,Iziane Castro Marques,2002,2013
100646,Tamika Catchings,2002,2016
100733,LaNeishea Caufield,2002,2002
1629569,Maite Cazorla,2019,2019
100213,Elisabeth Cebrian,1998,2000
100194,Keri Chaconas,1998,1998
201087,Cori Chambers,2007,2007
201481,Quianna Chaney,2008,2008
100741,Jill Chapman-Daily,2002,2002
100005,Daedra Charles,1997,1997
1630097,Kaila Charles,2020,2023
202250,Tina Charles,2010,2022
100178,Sonia Chase,1998,1999
202285,Joy Cheek,2010,2011
202639,Felicia Chester-Wootton,2011,2011
100950,Kaayla Chones,2004,2006
1628267,Saniya Chong,2017,2018
100759,Kayte Christensen,2002,2007
202640,Karima Christmas-Kelly,2011,2020
100937,Shameka Christon,2004,2015
201922,Kristi Cirone,2009,2009
203406,Layshia Clarendon,2013,2023
202252,Alysha Clark,2012,2023
100162,Margo Clark,1997,1997
100594,Michelle Cleary,2000,2001
203451,Courtney Clements,2013,2015
100534,Stacy Clinesmith,2000,2002
204333,Natasha Cloud,2015,2023
1631002,Nia Clouden,2022,2023
1628268,Alaina Coates,2018,2023
1628269,Nia Coffey,2017,2023
201095,Claire Coggins,2007,2007
100958,Monique Coker,2004,2004
100827,Courtney Coleman,2003,2003
201889,Marissa Coleman,2009,2018
203814,Nadia Colhado,2014,2017
100009,Katrina Colleton,1997,2001
1630454,Charli Collier,2021,2022
1629483,Napheesa Collier,2019,2023
202641,Sydney Colson,2011,2023
100051,Megan Compain,1997,1997
100065,Andrea Congreaves,1997,1999
100688,Cara Consuegra,2001,2001
1641660,Zia Cooke,2023,2023
100652,Camille Cooper,2001,2002
100073,Cynthia Cooper,1997,2003
1630099,Te'a Cooper,2020,2021
1627674,Kahleah Copper,2016,2023
1627635,Carla Cortijo,2015,2016
1630100,Lauren Cox,2020,2023
100529,Sylvia Crawley,2000,2003
200692,Willnett Crockett,2008,2008
100730,Danielle Crockrom,2002,2003
100665,Katie Cronin,2003,2006
100110,Cassandra Crumpton-Moorer,1997,1997
203813,Anna Cruz,2014,2016
1631032,Lorela Cubaj,2022,2023
1631072,Elissa Cunane,2022,2022
100554,Beth Cunningham,2000,2000
100743,Davalyn Cunningham,2002,2002
1629482,Sophie Cunningham,2019,2023
200673,Monique Currie,2006,2018
100760,Edniesha Curry,2003,2005
204302,Ana Dabovic,2015,2016
100722,Stacey Dales,2002,2007
100482,Grace Daley,2000,2003
1630101,Crystal Dangerfield,2020,2023
203024,Damiris Dantas,2014,2022
100457,Helen Darling,2000,2010
201047,Jessica Davenport,2007,2013
200725,Brandi Davis,2006,2006
201061,Dee Davis,2007,2007
1628273,Kaela Davis,2017,2022
1630452,Rennia Davis,2021,2022
201890,Tenae Davis-Cain,2009,2009
100377,Clarissa Davis-Wrightsil,1999,1999
100493,Anna DeForge,2000,2009
1628890,Diamond DeShields,2018,2023
203399,Elena Delle Donne,2013,2023
100975,Jennifer Derevjanik,2004,2008
1628358,Maimouna Diarra,2017,2017
100483,Keitha Dickerson,2000,2001
1631029,Jasmine Dickey,2022,2023
204355,Blake Dietrick,2016,2021
203400,Skylar Diggins-Smith,2013,2023
100866,Tai Dillard,2003,2005
1627639,Zoi Dimitrakou,2016,2016
1641700,Liz Dixon,2023,2023
100008,Tamecka Dixon,1997,2009
1641602,Ivana Dojkic,2023,2023
203828,Stefanie Dolson,2014,2023
100214,Nadine Domond,1998,1998
100862,Bethany Donaphin,2003,2004
201063,Shay Doron,2007,2007
200684,Scholanda Dorrell,2006,2012
204309,Clarissa Dos Santos,2015,2016
100666,Katie Douglas,2001,2014
1630104,Kathleen Doyle,2020,2020
1627644,Jelena Dubljevic,2016,2016
200701,Megan Duffy,2006,2008
203820,Celine Dumerc,2014,2014
1630440,Chelsea Dungee,2021,2021
202643,Victoria Dunlap,2011,2012
200676,Candice Dupree,2006,2021
1629476,Asia (AD) Durr,2019,2023
100239,Margo Dydek,1998,2008
100088,Michelle Edwards,1997,2001
100111,Simone Edwards,1997,2005
100838,Teresa Edwards,2003,2004
100398,Tonya Edwards,1999,2002
1631031,Queen Egbo,2022,2023
1627645,Frida Eldebrink,2016,2016
203876,Aaryn Ellenberg,2014,2014
1628327,Adaora Elonu,2018,2018
101032,Shyra Ely-Gash,2005,2011
1631083,Emily Engstler,2022,2023
100350,Shalonda Enis,1999,2003
1628300,Makayla Epps,2017,2017
100446,Summer Erb,2000,2002
201486,Lauren Ervin,2009,2009
1630389,Dana Evans,2021,2023
202999,Dawn Evans,2012,2012
1627701,Temi Fagbenle,2017,2019
100399,Trisha Fallon,1999,2001
1641675,Dulcy Fankam Mendjiadeu,2023,2023
203408,Kelly Faris,2013,2016
100494,Barbara Farris,2000,2009
203857,Jamierra Faulkner,2014,2019
100170,Allison Feaster,1998,2008
100998,Sui Fei Fei,2005,2005
100685,Marie Ferdinand-Harris,2001,2011
201037,Marta Fernandez,2007,2008
100509,Marina Ferragut,2000,2000
1627699,Nirra Fields,2016,2016
100392,Ukari Figgs,1999,2003
100089,Isabelle Fijalkowski,1997,2003
100510,Olga Firsova,2000,2000
1628289,Feyonda Fitzgerald,2017,2017
100559,Milena Flores,2000,2000
200680,Tye'sha Fluker,2006,2008
100400,Kristin Folkl,1999,2002
100843,Cheryl Ford,2003,2009
100107,Kisha Ford,1997,2001
100599,Stacey Ford,2001,2002
100033,Toni Foster,1997,1999
201480,Sylvia Fowles,2008,2022
100511,Desiree Francis,2000,2000
201510,A'Quonesia Franklin,2008,2009
201892,Megan Frazee,2009,2010
100547,Stacy Frese,2000,2000
100393,La'Keshia Frett,1999,2005
100948,Catrina Frierson,2004,2004
100746,Linda Frohlich,2002,2007
100918,Candace Futrell,2004,2004
100548,Katryna Gaither,2000,2002
100010,Travesa Gant,1997,1997
100803,Begona Garcia,2002,2002
200704,Kerri Gardin,2008,2011
100747,Andrea Gardner,2002,2008
203822,Rebekah Gardner,2022,2023
100503,Andrea Garner,2000,2000
203832,Markeisha Gatling,2014,2016
100081,Pietra Gay,1997,1997
100515,Cornelia Gayden,2000,2000
201052,Katie Gearlds,2007,2009
203043,Jacki Gemelos,2015,2020
204297,Cayla George,2015,2023
100014,Kim Gessig,1997,1997
100504,Kelley Gibson,2000,2003
100030,Jennifer Gillom,1997,2003
100468,Usha Gilmore,2000,2000
201551,Kamela Gissendanner,2008,2008
201106,Chrissy Givens,2008,2008
200648,Emilie Gomis,2006,2006
1630438,Kysre Gondrezick,2021,2021
203067,Sasha Goodlett,2012,2015
1630453,Aleah Goodman,2021,2021
203426,Angel Goodrich,2013,2015
100363,Adrienne Goodson,1999,2005
100017,Bridgette Gordon,1997,1998
1630110,Haley Gorecki,2021,2021
1627643,Cyesha Goree,2023,2023
201107,Gillian Goring,2007,2007
100728,Shaunzinski Gortman,2002,2006
100289,Margo Graham,1998,1998
200709,Erin Grant,2007,2007
